STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
17,Illinois,0659,10/21/2004,7,62.5999984741211,95.4000015258789,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6000003814697,0,305,0,0,0,101,4,7,69.6999969482422,9.10000038146973,15,0,0,0,2,0,2,13.3999996185303,0,0.800000011920929,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,199.399993896484,31.5
17,Illinois,0663,10/22/2004,4,0,0,0,0,564.299987792969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
83,Manitoba,1801,11/08/1999,3,51.5999984741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,0,0,20,1,0,65.0999984741211,3,0,0,0,1,0,0,0.300000011920929,0,0,0,0,0,0,0,0,0,0,0,0,509.600006103516,0,0,RAVELLING THROUGHOUT NO SHOULDER,3.70000004768372,142.300003051758,66.1999969482422
27,Minnesota,1018,04/22/2003,5,10.3000001907349,0,0,0,0,0,0,0,0,4.40000009536743,2.79999995231628,0,0,0,0,181.199996948242,12.5,0,0,0,0,8,15,8,10.8000001907349,54.4000015258789,29.2000007629395,1.20000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SECTION SEALED SINCE LAST SURVEY,3.70000004768372,43,87.3000030517578
21,Kentucky,1014,12/15/1994,3,0,0,0,0,0,0,0,0,0,4.30000019073486,0,0,0,0,0,0,0,0.400000005960464,0,0,0,19,0,0,9.80000019073486,0,0,0,0,0,0,0,3,0,0,1.60000002384186,0,0,0,0,0,0,0,0,0,0,0,0,0,CORINGS AT 105-110M & 402-406M CONCRETE PATCHES AT CORE HOLES,3.70000004768372,4.30000019073486,0
18,Indiana,0661,06/26/1991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLEEDING DELETED FROM SURVEY -RECENT OVERLAY,3.70000004768372,0,0
18,Indiana,0660,06/21/2004,4,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.59999990463257,304.799987792969,0
20,Kansas,6026,05/11/2005,3,0,214.600006103516,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9000015258789,0,0,0,0,0,1,0,0,0.400000005960464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MODERATE FATIGUE WAS EVIDENT IN EARLY MORNING,3.70000004768372,304.799987792969,0
29,Missouri,A351,05/12/2005,2,20.6000003814697,0.400000005960464,11.8999996185303,0,0,0,0,0,0,0,0,0,0,0,0,145.5,19.5,9.30000019073486,0,0,0,45,2,0,50.9000015258789,2.59999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,,3.70000004768372,113.300003051758,14
20,Kansas,0112,06/21/2005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
