MERRA_ID,STATE_CODE,SHRP_ID
118838,72,1003
118838,72,4121
118838,72,4122
118839,72,3008
120424,15,1008
121000,15,7080
122150,15,1003
122150,15,1006
127456,12,1060
128005,48,3729
128032,12,4103
128580,48,0113
128580,48,0114
128580,48,0115
128580,48,0116
128580,48,0117
128580,48,0118
128580,48,0119
128580,48,0120
128580,48,0121
128580,48,0122
128580,48,0123
128580,48,0124
128580,48,0160
128580,48,0161
128580,48,0162
128580,48,0163
128580,48,0164
128580,48,0165
128580,48,0166
128580,48,0167
128606,12,4099
128608,12,0101
128608,12,0102
128608,12,0103
128608,12,0104
128608,12,0105
128608,12,0106
128608,12,0107
128608,12,0108
128608,12,0109
128608,12,0110
128608,12,0111
128608,12,0112
128608,12,0161
128609,12,3995
129157,48,3739
129157,48,N310
129157,48,N320
129157,48,N330
129157,48,N340
129157,48,N350
129184,12,0502
129184,12,0503
129184,12,0504
129184,12,0505
129184,12,0506
129184,12,0507
129184,12,0508
129184,12,0509
129184,12,0561
129184,12,0562
129184,12,0563
129184,12,0564
129184,12,0565
129184,12,0566
129184,12,1030
129184,12,4106
129760,12,4107
130307,48,3749
130307,48,M310
130307,48,M320
130307,48,M330
130307,48,M340
130307,48,M350
130308,48,1174
130308,48,6086
130333,12,3804
130333,12,4057
130334,12,4135
130334,12,4136
130334,12,4137
130884,48,1181
130886,48,1060
130909,12,3996
130911,12,4101
130912,12,1370
131460,48,1093
131460,48,1122
131460,48,J310
131460,48,J320
131460,48,J330
131460,48,J340
131460,48,J350
131460,48,J351
131464,48,5026
131487,12,4000
131487,12,4059
131487,12,4109
131487,12,4138
131487,12,4154
131487,12,C310
131487,12,C320
131487,12,C321
131487,12,C330
131487,12,C350
132034,48,1092
132035,48,0901
132035,48,0902
132035,48,0903
132035,48,1094
132035,48,1096
132035,48,9005
132035,48,A310
132035,48,A320
132035,48,A330
132035,48,A340
132035,48,K310
132035,48,K320
132035,48,K330
132035,48,K340
132035,48,K350
132035,48,K351
132036,48,1130
132037,48,5154
132038,48,5024
132039,48,3629
132040,48,3699
132041,48,2108
132041,48,4146
132610,48,1123
132614,48,3855
132617,48,3010
132617,48,4152
132617,48,7165
132617,48,D410
132617,48,D420
132617,48,D430
132618,48,4143
132618,48,B410
132618,48,B420
132618,48,B430
132619,48,3719
132624,22,0702
132624,22,0703
132624,22,0704
132624,22,0705
132624,22,0706
132624,22,0707
132624,22,0708
132624,22,0709
132638,12,3997
132638,12,B310
132638,12,B320
132638,12,B321
132638,12,B330
132638,12,B350
132638,12,B351
132638,12,B352
132638,12,B360
133189,48,0001
133190,48,1178
133191,48,3835
133192,48,1050
133192,48,1109
133192,48,3559
133192,48,H310
133192,48,H320
133192,48,H330
133192,48,H340
133192,48,H350
133192,48,H351
133192,48,I310
133192,48,I320
133192,48,I330
133192,48,I340
133192,48,I350
133193,48,3689
133196,22,0113
133196,22,0114
133196,22,0115
133196,22,0116
133196,22,0117
133196,22,0118
133196,22,0119
133196,22,0120
133196,22,0121
133196,22,0122
133196,22,0123
133196,22,0124
133200,22,4001
133202,28,5805
133203,28,3093
133203,28,3094
133207,12,4100
133207,12,4108
133208,12,4096
133210,12,3811
133213,12,0901
133213,12,0902
133213,12,0903
133213,12,0959
133214,12,4105
133214,12,9054
133214,12,A310
133214,12,A320
133214,12,A321
133214,12,A330
133214,12,A350
133214,12,A351
133214,12,A352
133765,48,2133
133765,48,A807
133765,48,A808
133767,48,0801
133767,48,0802
133771,48,4142
133771,48,E410
133771,48,E420
133771,48,E430
133773,22,3056
133781,1,6019
133784,1,0502
133784,1,0503
133784,1,0504
133784,1,0505
133784,1,0506
133784,1,0507
133784,1,0508
133784,1,0509
133784,1,0563
133784,1,0564
133784,1,4155
133784,1,C310
133784,1,C320
133784,1,C330
133784,1,C340
133784,1,C350
133784,12,4097
133784,12,AA01
133784,12,AA02
133784,12,AA03
133784,12,AA61
133786,13,4093
133787,13,4092
133790,13,4112
133790,13,4113
133790,13,5023
134319,4,1015
134319,4,1016
134319,4,6060
134319,4,D310
134319,4,D320
134319,4,D330
134319,4,D350
134339,48,3865
134339,48,Q310
134339,48,Q320
134339,48,Q330
134339,48,Q340
134339,48,Q350
134339,48,Q353
134345,48,3669
134346,48,1049
134346,48,3679
134352,28,5025
134354,28,1802
134354,28,A310
134354,28,A320
134354,28,A330
134354,28,A350
134356,1,1019
134356,1,B310
134356,1,B320
134356,1,B330
134356,1,B340
134356,1,B350
134361,13,4096
134895,4,1017
134895,4,1018
134895,4,6054
134895,4,C310
134895,4,C320
134895,4,C330
134895,4,C340
134895,4,C350
134896,4,6053
134900,35,0501
134900,35,0502
134900,35,0503
134900,35,0504
134900,35,0505
134900,35,0506
134900,35,0507
134900,35,0508
134900,35,0509
134900,35,0801
134900,35,0802
134900,35,0901
134900,35,0902
134900,35,0903
134900,35,0959
134903,48,3769
134903,48,3779
134903,48,L310
134903,48,L320
134903,48,L330
134903,48,L340
134903,48,L350
134909,48,1048
134909,48,5278
134919,48,9167
134921,48,1113
134921,48,1119
134921,48,1169
134921,48,G310
134921,48,G320
134921,48,G330
134921,48,G350
134922,48,1116
134939,13,3020
134943,13,4420
135463,6,3021
135463,6,A410
135463,6,A411
135463,6,A412
135463,6,A420
135463,6,A421
135463,6,A422
135463,6,A423
135463,6,A430
135463,6,A441
135463,6,A442
135463,6,A443
135478,35,0101
135478,35,0102
135478,35,0103
135478,35,0104
135478,35,0105
135478,35,0106
135478,35,0107
135478,35,0108
135478,35,0109
135478,35,0110
135478,35,0111
135478,35,0112
135483,35,1112
135483,35,3010
135487,48,2172
135487,48,D310
135487,48,D320
135487,48,D330
135487,48,D350
135493,48,5274
135493,48,5301
135494,48,1039
135494,48,5317
135494,48,9355
135495,48,1069
135495,48,1070
135495,48,A502
135495,48,A503
135495,48,A504
135495,48,A505
135495,48,A506
135495,48,A507
135495,48,A508
135495,48,A509
135495,48,B310
135495,48,B320
135495,48,B330
135495,48,B340
135495,48,B350
135496,48,1087
135496,48,1168
135496,48,3579
135496,48,F310
135496,48,F320
135496,48,F330
135496,48,F340
135496,48,F350
135504,28,7012
135504,28,9030
135506,28,3099
135507,28,3091
135508,1,3998
135511,1,1021
135511,1,4125
135511,1,A310
135511,1,A320
135511,1,A330
135511,1,A340
135511,1,A350
135513,1,0101
135513,1,0102
135513,1,0103
135513,1,0104
135513,1,0105
135513,1,0106
135513,1,0107
135513,1,0108
135513,1,0109
135513,1,0110
135513,1,0111
135513,1,0112
135513,1,0161
135513,1,0162
135513,1,0163
135513,1,1001
135515,13,1005
135517,13,3011
135518,13,3015
136038,6,3010
136038,6,9048
136040,6,8534
136040,6,8535
136045,4,6055
136046,4,0501
136046,4,0502
136046,4,0503
136046,4,0504
136046,4,0505
136046,4,0506
136046,4,0507
136046,4,0508
136046,4,0509
136046,4,0559
136046,4,0560
136061,48,1076
136069,48,5287
136069,48,5310
136070,48,3003
136070,48,5035
136070,48,5283
136070,48,5284
136070,48,A410
136070,48,A420
136070,48,A430
136072,48,3569
136078,5,2042
136081,28,0501
136081,28,0502
136081,28,0503
136081,28,0504
136081,28,0505
136081,28,0506
136081,28,0507
136081,28,0508
136081,28,0509
136081,28,0560
136082,28,1016
136085,1,6012
136087,1,4129
136090,13,1004
136091,13,4118
136097,45,1011
136613,6,3013
136613,6,3019
136613,6,3024
