SHRP_ID,STATE_CODE,STATE_CODE_EXP,DATE_COMPLETE,DATE_BEGAN,SECTION_LENGTH,SECTION_WIDTH,AIR_TEMP,RELATIVE_HUMIDITY,PAVE_TEMP,SURFACE_MOISTURE,SURFACE_MOISTURE_EXP,SURFACE_COND,SURFACE_COND_EXP,SURFACE_COND_OTHER,CRACK_SEVERITY_EXP,CRACK_SEVERITY,CRACK_TYPE,CRACK_TYPE_EXP,PERCENT_SEALED,LENGTH_SEALED,WIDTH_MIN,WIDTH_MEAN,WIDTH_MAX,DEPTH_MIN,DEPTH_MEAN,DEPTH_MAX,LENGTH_PREPARED,MAX_SEAL_TEMP,SEAL_TEMP_BEGIN,SEAL_TEMP_END,AVG_WIDTH_CRACK,SEAL_THICKNESS,CONSTRUCTION_NO
A330,4,Arizona,08/24/1990,08/24/1990,700,13,92,,102,1,Dry,2,Slightly Oxidized,,Moderate,2,4,Longitudinal cracking (AC),70,600,0.75,0.850000023841858,1.25,1,1,1.5,600,410,350,350,0.800000011920929,0.25,2
B330,4,Arizona,08/28/1990,08/28/1990,700,13,92,,,1,Dry,2,Slightly Oxidized,,,,4,Longitudinal cracking (AC),,318,,,,,,,,410,,,,0.25,2
C330,4,Arizona,09/04/1990,09/04/1990,700,13,88,,98,1,Dry,7,Other,HEAVILY OXIDIZED,Moderate,2,6,Transverse cracking (AC),85,665,0.75,1.10000002384186,1.25,1,1,1,665,410,390,380,,0.25,2
D330,4,Arizona,09/06/1990,09/06/1990,700,13,94,,102,1,Dry,7,Other,HEAVILY OXIDIZED,Moderate,2,6,Transverse cracking (AC),75,368,0.75,0.899999976158142,1.25,1,1,1,368,410,390,380,,0.25,2
A330,6,California,08/21/1990,08/21/1990,600,13,69,,89,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),99,661,0.75,0.75,1,1,1.10000002384186,1.75,661,410,380,380,0.800000011920929,0.25,2
A330,8,Colorado,08/31/1990,08/31/1990,500,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2
B330,8,Colorado,07/24/1990,07/24/1990,700,13,93,,112,1,Dry,2,Slightly Oxidized,,Low,1,6,Transverse cracking (AC),90,161,0.730000019073486,0.75,0.779999971389771,1,1.10000002384186,1.25,157,410,380,380,0.800000011920929,0.75,2
A330,16,Idaho,07/30/1990,07/30/1990,650,13,,,,1,Dry,,,,,,,,,,,,,,,,,410,,,,,2
B330,16,Idaho,08/05/1990,08/05/1990,650,13,,,,,,,,,,,,,,,,,,,,,,410,,,,,2
C330,16,Idaho,07/31/1990,07/31/1990,550,13,82,,101,1,Dry,2,Slightly Oxidized,,Low,1,6,Transverse cracking (AC),95,164,0.75,0.75,0.75,1,1,1.10000002384186,164,410,380,380,0.800000011920929,0.25,2
A330,30,Montana,08/08/1990,08/08/1990,600,13,90,,104,1,Dry,4,Slightly Flushed,,Moderate,2,6,Transverse cracking (AC),90,,0.75,0.850000023841858,1.10000002384186,1,1,1,,410,360,360,0.800000011920929,0.200000002980232,2
A330,32,Nevada,08/22/1990,08/22/1990,650,13,84,,100,1,Dry,2,Slightly Oxidized,,Moderate,2,6,Transverse cracking (AC),85,568,0.75,0.800000011920929,1.25,1,1.10000002384186,1.75,536,410,385,380,0.800000011920929,0.25,2
B330,32,Nevada,07/29/1990,07/29/1990,700,13,84,,110,1,Dry,2,Slightly Oxidized,,Low,1,6,Transverse cracking (AC),100,2,0.75,0.75,0.75,1,1,1,2,410,360,360,0.800000011920929,0.25,2
C330,32,Nevada,07/28/1990,07/28/1990,650,13,92,,108,1,Dry,1,Badly Oxidized,,Low,1,6,Transverse cracking (AC),50,21,0.75,0.75,0.850000023841858,1,1,1.10000002384186,21,410,390,390,0.800000011920929,0.25,2
A330,49,Utah,07/02/1990,07/02/1990,700,13,92,,121,1,Dry,2,Slightly Oxidized,,Low,1,6,Transverse cracking (AC),90,788,0.75,0.850000023841858,1.5,1,1,1,512,410,395,395,0.800000011920929,0.100000001490116,2
B330,49,Utah,07/05/1990,07/05/1990,700,13,90,,125,1,Dry,4,Slightly Flushed,,Low,1,6,Transverse cracking (AC),95,437,0.5,0.600000023841858,1.5,1,1,1,400,410,375,360,0.800000011920929,0.150000005960464,2
C330,49,Utah,07/19/1990,07/19/1990,700,13,92,,110,1,Dry,4,Slightly Flushed,,Low,1,6,Transverse cracking (AC),,,,,,,,,,410,360,360,0.800000011920929,0.200000002980232,2
A330,53,Washington,08/12/1990,08/12/1990,650,13,90,,102,1,Dry,2,Slightly Oxidized,,Moderate,2,4,Longitudinal cracking (AC),99,765,0.75,0.75,0.800000011920929,1,1.10000002384186,1.5,744,410,400,400,0.800000011920929,0.75,2
B330,53,Washington,08/13/1990,08/13/1990,650,13,94,,108,1,Dry,2,Slightly Oxidized,,Moderate,2,6,Transverse cracking (AC),95,345,0.75,0.800000011920929,1,1,1.10000002384186,1.5,345,410,395,395,0.800000011920929,0.25,2
C330,53,Washington,08/15/1990,08/15/1990,650,13,75,97,124,1,Dry,2,Slightly Oxidized,,High,3,4,Longitudinal cracking (AC),90,,0.75,0.800000011920929,1,1,1,1.25,,410,385,385,0.800000011920929,0.25,2
B330,56,Wyoming,07/26/1990,07/26/1990,700,12,93,,105,1,Dry,6,Flushed only in Wheel Paths,,Low,1,6,Transverse cracking (AC),25,10,0.75,0.75,0.75,1,1,1.10000002384186,10,410,380,380,0.800000011920929,0.25,2
B330,42,Pennsylvania,10/02/1990,10/02/1990,600,12,70,30,80,1,Dry,6,Flushed only in Wheel Paths,,Low,1,4,Longitudinal cracking (AC),90,227,1.5,1.5,1.5,0.370000004768372,0.5,0.620000004768372,227,390,360,360,2,0.100000001490116,2
B331,36,New York,05/09/1990,05/09/1990,700,12,60,50,75,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),100,1100,,0.25,,,0.129999995231628,,500,390,300,300,0.300000011920929,0.129999995231628,2
A330,36,New York,09/06/1990,09/06/1990,700,12,92,62,98,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),98,991,1.37999999523163,1.39999997615814,1.5,0.370000004768372,0.400000005960464,0.5,991,390,375,375,1.70000004768372,0.100000001490116,2
A330,24,Maryland,09/12/1990,09/12/1990,700,12,88,70,99,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),98,109,1.5,1.5,1.60000002384186,0.370000004768372,0.5,0.600000023841858,109,390,360,360,,0.129999995231628,2
